"LOCATION","Country","TYPE_VAR","Type of indicator","VARIABLE","Indicator","WB","Current/Future Well-being","SEX","Sex","AGE","Age","EDUCATION","Education","TIME","Time","Value","Flag Codes","Flags"
"CZE","Czech Republic","AVERAGE","Average","5_2","Perceived health","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2005","2005",58.9,,
"CZE","Czech Republic","AVERAGE","Average","5_2","Perceived health","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2006","2006",59.2,,
"CZE","Czech Republic","AVERAGE","Average","5_2","Perceived health","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2007","2007",61.2,,
"CZE","Czech Republic","AVERAGE","Average","5_2","Perceived health","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2008","2008",61.4,,
"CZE","Czech Republic","AVERAGE","Average","5_2","Perceived health","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2009","2009",61.3,,
"CZE","Czech Republic","AVERAGE","Average","5_2","Perceived health","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2010","2010",62.2,,
"CZE","Czech Republic","AVERAGE","Average","5_2","Perceived health","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2011","2011",59.4,,
"CZE","Czech Republic","AVERAGE","Average","5_2","Perceived health","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2012","2012",60.4,,
"CZE","Czech Republic","AVERAGE","Average","5_2","Perceived health","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2013","2013",59.6,,
"CZE","Czech Republic","AVERAGE","Average","5_2","Perceived health","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2014","2014",60.6,,
"CZE","Czech Republic","AVERAGE","Average","5_2","Perceived health","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2015","2015",61.2,,
"DNK","Denmark","AVERAGE","Average","5_2","Perceived health","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2004","2004",77.6,,
"DNK","Denmark","AVERAGE","Average","5_2","Perceived health","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2005","2005",76.6,,
"DNK","Denmark","AVERAGE","Average","5_2","Perceived health","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2006","2006",75,,
"DNK","Denmark","AVERAGE","Average","5_2","Perceived health","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2007","2007",75.3,,
"DNK","Denmark","AVERAGE","Average","5_2","Perceived health","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2008","2008",74.2,,
"DNK","Denmark","AVERAGE","Average","5_2","Perceived health","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2009","2009",72.3,,
"DNK","Denmark","AVERAGE","Average","5_2","Perceived health","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2010","2010",71,,
"DNK","Denmark","AVERAGE","Average","5_2","Perceived health","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2011","2011",71.7,,
"DNK","Denmark","AVERAGE","Average","5_2","Perceived health","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2012","2012",71,,
"DNK","Denmark","AVERAGE","Average","5_2","Perceived health","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2013","2013",72.5,,
"DNK","Denmark","AVERAGE","Average","5_2","Perceived health","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2014","2014",72.4,,
"DNK","Denmark","AVERAGE","Average","5_2","Perceived health","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2015","2015",71.6,,
"FIN","Finland","AVERAGE","Average","5_2","Perceived health","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2004","2004",69.1,,
"FIN","Finland","AVERAGE","Average","5_2","Perceived health","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2005","2005",68.5,,
"FIN","Finland","AVERAGE","Average","5_2","Perceived health","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2006","2006",68.7,,
"FIN","Finland","AVERAGE","Average","5_2","Perceived health","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2007","2007",68.3,,
"FIN","Finland","AVERAGE","Average","5_2","Perceived health","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2008","2008",68.6,,
"FIN","Finland","AVERAGE","Average","5_2","Perceived health","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2009","2009",68.9,,
"FIN","Finland","AVERAGE","Average","5_2","Perceived health","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2010","2010",68.3,,
"FIN","Finland","AVERAGE","Average","5_2","Perceived health","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2011","2011",68.8,,
"FIN","Finland","AVERAGE","Average","5_2","Perceived health","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2012","2012",67.1,,
"FIN","Finland","AVERAGE","Average","5_2","Perceived health","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2013","2013",64.6,,
"FIN","Finland","AVERAGE","Average","5_2","Perceived health","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2014","2014",69.2,,
"FIN","Finland","AVERAGE","Average","5_2","Perceived health","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2015","2015",69.8,,
"FRA","France","AVERAGE","Average","5_2","Perceived health","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2004","2004",67.6,,
"FRA","France","AVERAGE","Average","5_2","Perceived health","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2005","2005",68.7,,
"FRA","France","AVERAGE","Average","5_2","Perceived health","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2006","2006",69.3,,
"FRA","France","AVERAGE","Average","5_2","Perceived health","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2007","2007",71.1,,
"FRA","France","AVERAGE","Average","5_2","Perceived health","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2008","2008",69.1,,
"FRA","France","AVERAGE","Average","5_2","Perceived health","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2009","2009",68.6,,
"FRA","France","AVERAGE","Average","5_2","Perceived health","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2010","2010",67.3,,
"FRA","France","AVERAGE","Average","5_2","Perceived health","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2011","2011",67.6,,
"FRA","France","AVERAGE","Average","5_2","Perceived health","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2012","2012",68.1,,
"FRA","France","AVERAGE","Average","5_2","Perceived health","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2013","2013",67.1,,
"FRA","France","AVERAGE","Average","5_2","Perceived health","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2014","2014",68.2,,
"FRA","France","AVERAGE","Average","5_2","Perceived health","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2015","2015",67.8,,
"DEU","Germany","AVERAGE","Average","5_2","Perceived health","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2005","2005",60.1,,
"DEU","Germany","AVERAGE","Average","5_2","Perceived health","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2006","2006",60.5,,
"DEU","Germany","AVERAGE","Average","5_2","Perceived health","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2007","2007",59.8,,
"DEU","Germany","AVERAGE","Average","5_2","Perceived health","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2008","2008",64.5,,
"DEU","Germany","AVERAGE","Average","5_2","Perceived health","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2009","2009",65.2,,
"DEU","Germany","AVERAGE","Average","5_2","Perceived health","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2010","2010",65.2,,
"DEU","Germany","AVERAGE","Average","5_2","Perceived health","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2011","2011",64.8,,
"DEU","Germany","AVERAGE","Average","5_2","Perceived health","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2012","2012",65.4,,
"DEU","Germany","AVERAGE","Average","5_2","Perceived health","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2013","2013",64.9,,
"DEU","Germany","AVERAGE","Average","5_2","Perceived health","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2014","2014",65.2,,
"DEU","Germany","AVERAGE","Average","5_2","Perceived health","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2015","2015",64.5,,
"GRC","Greece","AVERAGE","Average","5_2","Perceived health","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2004","2004",77.7,,
"GRC","Greece","AVERAGE","Average","5_2","Perceived health","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2005","2005",77.4,,
"GRC","Greece","AVERAGE","Average","5_2","Perceived health","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2006","2006",76.7,,
"GRC","Greece","AVERAGE","Average","5_2","Perceived health","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2007","2007",76.6,,
"GRC","Greece","AVERAGE","Average","5_2","Perceived health","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2008","2008",76,,
"GRC","Greece","AVERAGE","Average","5_2","Perceived health","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2009","2009",75.3,,
"GRC","Greece","AVERAGE","Average","5_2","Perceived health","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2010","2010",75.5,,
"GRC","Greece","AVERAGE","Average","5_2","Perceived health","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2011","2011",76.4,,
"GRC","Greece","AVERAGE","Average","5_2","Perceived health","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2012","2012",74.9,,
"GRC","Greece","AVERAGE","Average","5_2","Perceived health","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2013","2013",73.9,,
"GRC","Greece","AVERAGE","Average","5_2","Perceived health","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2014","2014",73.5,,
"GRC","Greece","AVERAGE","Average","5_2","Perceived health","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2015","2015",74.4,,
"HUN","Hungary","AVERAGE","Average","5_2","Perceived health","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2005","2005",45.3,,
"HUN","Hungary","AVERAGE","Average","5_2","Perceived health","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2006","2006",48,,
"HUN","Hungary","AVERAGE","Average","5_2","Perceived health","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2007","2007",46.6,,
"HUN","Hungary","AVERAGE","Average","5_2","Perceived health","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2008","2008",55.1,,
"HUN","Hungary","AVERAGE","Average","5_2","Perceived health","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2009","2009",55.9,,
"HUN","Hungary","AVERAGE","Average","5_2","Perceived health","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2010","2010",55,,
"HUN","Hungary","AVERAGE","Average","5_2","Perceived health","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2011","2011",55.6,,
"HUN","Hungary","AVERAGE","Average","5_2","Perceived health","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2012","2012",57,,
"HUN","Hungary","AVERAGE","Average","5_2","Perceived health","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2013","2013",56.1,,
"HUN","Hungary","AVERAGE","Average","5_2","Perceived health","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2014","2014",56.9,,
"HUN","Hungary","AVERAGE","Average","5_2","Perceived health","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2015","2015",56.3,,
"ISL","Iceland","AVERAGE","Average","5_2","Perceived health","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2004","2004",78.7,,
"ISL","Iceland","AVERAGE","Average","5_2","Perceived health","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2005","2005",79.5,,
"ISL","Iceland","AVERAGE","Average","5_2","Perceived health","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2006","2006",80.9,,
"ISL","Iceland","AVERAGE","Average","5_2","Perceived health","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2007","2007",79.2,,
"ISL","Iceland","AVERAGE","Average","5_2","Perceived health","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2008","2008",80.5,,
"ISL","Iceland","AVERAGE","Average","5_2","Perceived health","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2009","2009",80.3,,
"ISL","Iceland","AVERAGE","Average","5_2","Perceived health","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2010","2010",77.8,,
"ISL","Iceland","AVERAGE","Average","5_2","Perceived health","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2011","2011",77.6,,
"ISL","Iceland","AVERAGE","Average","5_2","Perceived health","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2012","2012",76.8,,
"ISL","Iceland","AVERAGE","Average","5_2","Perceived health","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2013","2013",76.6,,
"ISL","Iceland","AVERAGE","Average","5_2","Perceived health","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2014","2014",76.1,,
"ISL","Iceland","AVERAGE","Average","5_2","Perceived health","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2015","2015",76.3,,
"IRL","Ireland","AVERAGE","Average","5_2","Perceived health","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2004","2004",82.8,,
"IRL","Ireland","AVERAGE","Average","5_2","Perceived health","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2005","2005",82.7,,
"IRL","Ireland","AVERAGE","Average","5_2","Perceived health","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2006","2006",83.1,,
"IRL","Ireland","AVERAGE","Average","5_2","Perceived health","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2007","2007",84,,
"IRL","Ireland","AVERAGE","Average","5_2","Perceived health","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2008","2008",84.3,,
"IRL","Ireland","AVERAGE","Average","5_2","Perceived health","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2009","2009",83.1,,
"IRL","Ireland","AVERAGE","Average","5_2","Perceived health","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2010","2010",82.8,,
"IRL","Ireland","AVERAGE","Average","5_2","Perceived health","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2011","2011",83.2,,
"IRL","Ireland","AVERAGE","Average","5_2","Perceived health","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2012","2012",82.8,,
"IRL","Ireland","AVERAGE","Average","5_2","Perceived health","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2013","2013",82,,
"IRL","Ireland","AVERAGE","Average","5_2","Perceived health","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2014","2014",82.5,,
"IRL","Ireland","AVERAGE","Average","5_2","Perceived health","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2015","2015",82.6,,
"ITA","Italy","AVERAGE","Average","5_2","Perceived health","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2004","2004",57.4,,
"ITA","Italy","AVERAGE","Average","5_2","Perceived health","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2005","2005",58.1,,
"ITA","Italy","AVERAGE","Average","5_2","Perceived health","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2006","2006",56.8,,
"ITA","Italy","AVERAGE","Average","5_2","Perceived health","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2007","2007",63.4,,
"ITA","Italy","AVERAGE","Average","5_2","Perceived health","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2008","2008",63.4,,
"ITA","Italy","AVERAGE","Average","5_2","Perceived health","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2009","2009",63.5,,
"ITA","Italy","AVERAGE","Average","5_2","Perceived health","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2010","2010",66.4,,
"ITA","Italy","AVERAGE","Average","5_2","Perceived health","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2011","2011",64.5,,
"ITA","Italy","AVERAGE","Average","5_2","Perceived health","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2012","2012",68,,
"ITA","Italy","AVERAGE","Average","5_2","Perceived health","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2013","2013",66.2,,
"ITA","Italy","AVERAGE","Average","5_2","Perceived health","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2014","2014",67.9,,
"ITA","Italy","AVERAGE","Average","5_2","Perceived health","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2015","2015",65.6,,
"JPN","Japan","AVERAGE","Average","5_2","Perceived health","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2004","2004",38.7,,
"JPN","Japan","AVERAGE","Average","5_2","Perceived health","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2007","2007",32.7,,
"JPN","Japan","AVERAGE","Average","5_2","Perceived health","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2010","2010",30,,
"JPN","Japan","AVERAGE","Average","5_2","Perceived health","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2013","2013",35.4,,
"KOR","Korea","AVERAGE","Average","5_2","Perceived health","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2005","2005",43.9,,
"KOR","Korea","AVERAGE","Average","5_2","Perceived health","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2008","2008",43.7,,
"KOR","Korea","AVERAGE","Average","5_2","Perceived health","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2009","2009",44.8,,
"KOR","Korea","AVERAGE","Average","5_2","Perceived health","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2010","2010",37.6,,
"KOR","Korea","AVERAGE","Average","5_2","Perceived health","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2011","2011",36.8,,
"KOR","Korea","AVERAGE","Average","5_2","Perceived health","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2012","2012",33.3,,
"KOR","Korea","AVERAGE","Average","5_2","Perceived health","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2013","2013",35.1,,
"KOR","Korea","AVERAGE","Average","5_2","Perceived health","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2014","2014",32.5,,
"KOR","Korea","AVERAGE","Average","5_2","Perceived health","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2015","2015",32.5,,
"LUX","Luxembourg","AVERAGE","Average","5_2","Perceived health","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2004","2004",72.3,,
"LUX","Luxembourg","AVERAGE","Average","5_2","Perceived health","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2005","2005",73.6,,
"LUX","Luxembourg","AVERAGE","Average","5_2","Perceived health","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2006","2006",74.2,,
"LUX","Luxembourg","AVERAGE","Average","5_2","Perceived health","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2007","2007",74.4,,
"LUX","Luxembourg","AVERAGE","Average","5_2","Perceived health","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2008","2008",74,,
"LUX","Luxembourg","AVERAGE","Average","5_2","Perceived health","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2009","2009",73.9,,
"LUX","Luxembourg","AVERAGE","Average","5_2","Perceived health","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2010","2010",75.3,,
"LUX","Luxembourg","AVERAGE","Average","5_2","Perceived health","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2011","2011",72.5,,
"LUX","Luxembourg","AVERAGE","Average","5_2","Perceived health","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2012","2012",73.8,,
"LUX","Luxembourg","AVERAGE","Average","5_2","Perceived health","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2013","2013",71.9,,
"LUX","Luxembourg","AVERAGE","Average","5_2","Perceived health","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2014","2014",72.8,,
"LUX","Luxembourg","AVERAGE","Average","5_2","Perceived health","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2015","2015",70.4,,
